gas,molar_mass,source
N2,28.013452,"https://ciaaw.org/natural-variations.htm?el=nitrogen"
O2,31.9988084,"https://ciaaw.org/natural-variations.htm?el=oxygen"
Ar,39.94779856,"https://physics.nist.gov/cgi-bin/Compositions/stand_alone.pl?ascii=ascii&ele=Ar"
CO2,44.01001,"https://ciaaw.org/natural-variations.htm?el=carbon,https://ciaaw.org/natural-variations.htm?el=oxygen (CO2 in air)"
Ne,20.1797,"https://ciaaw.org/neon.htm"
He,4.0026,"https://ciaaw.org/helium.htm"
CH4,16.04244,"https://ciaaw.org/natural-variations.htm?el=carbon,https://ciaaw.org/natural-variations.htm?el=hydrogen (methane in air)"
Kr,83.798,"https://ciaaw.org/krypton.htm"
H2,2.0159634,"https://ciaaw.org/natural-variations.htm?el=hydrogen"
N2O,44.01306,"https://ciaaw.org/natural-variations.htm?el=nitrogen,https://ciaaw.org/natural-variations.htm?el=oxygen (N2O in air)"
Xe,131.293,"https://ciaaw.org/xenon.htm"
O3,47.9982126,"https://ciaaw.org/natural-variations.htm?el=oxygen"
O,15.9994042,"https://ciaaw.org/natural-variations.htm?el=oxygen"
H,1.0079817,"https://ciaaw.org/natural-variations.htm?el=hydrogen"
N,14.006726,"https://ciaaw.org/natural-variations.htm?el=nitrogen"
