altitude,temp,N2,O2,O,He,H,Ar,N
0,288.5477524,1.966411922e+25,5.273078823e+24,0.000000000e+00,1.309519690e+20,0.000000000e+00,2.350084345e+23,0.000000000e+00
1000,282.5036545,1.781661713e+25,4.777657608e+24,0.000000000e+00,1.186486461e+20,0.000000000e+00,2.129286997e+23,0.000000000e+00
2000,277.3543015,1.606068540e+25,4.306791495e+24,0.000000000e+00,1.069551288e+20,0.000000000e+00,1.919433328e+23,0.000000000e+00
3000,272.3769913,1.444241278e+25,3.872839767e+24,0.000000000e+00,9.617834478e+19,0.000000000e+00,1.726031466e+23,0.000000000e+00
4000,266.950428,1.298346772e+25,3.481612824e+24,0.000000000e+00,8.646259054e+19,0.000000000e+00,1.551671071e+23,0.000000000e+00
5000,260.5552197,1.168796239e+25,3.134213579e+24,0.000000000e+00,7.783525496e+19,0.000000000e+00,1.396843554e+23,0.000000000e+00
6000,253.0029793,1.053968932e+25,2.826295591e+24,0.000000000e+00,7.018840118e+19,0.000000000e+00,1.259611949e+23,0.000000000e+00
7000,244.9820957,9.491415838e+24,2.545193297e+24,0.000000000e+00,6.320748916e+19,0.000000000e+00,1.134331400e+23,0.000000000e+00
8000,237.2398529,8.508270744e+24,2.281555709e+24,0.000000000e+00,5.666029654e+19,0.000000000e+00,1.016834478e+23,0.000000000e+00
9000,230.3528862,7.573081060e+24,2.030777682e+24,0.000000000e+00,5.043245927e+19,0.000000000e+00,9.050687139e+22,0.000000000e+00
10000,224.7697124,6.680923450e+24,1.791539029e+24,0.000000000e+00,4.449119101e+19,0.000000000e+00,7.984458463e+22,0.000000000e+00
11000,220.7416363,5.837557622e+24,1.565384253e+24,0.000000000e+00,3.887484933e+19,0.000000000e+00,6.976540932e+22,0.000000000e+00
12000,217.9957848,5.061208528e+24,1.357200478e+24,0.000000000e+00,3.370480107e+19,0.000000000e+00,6.048715980e+22,0.000000000e+00
13000,216.1831551,4.363466378e+24,1.170095784e+24,0.000000000e+00,2.905823167e+19,0.000000000e+00,5.214835271e+22,0.000000000e+00
14000,214.9944191,3.747606155e+24,1.004948299e+24,0.000000000e+00,2.495694830e+19,0.000000000e+00,4.478812659e+22,0.000000000e+00
15000,214.1392727,3.211446494e+24,8.611731326e+23,0.000000000e+00,2.138642722e+19,0.000000000e+00,3.838041433e+22,0.000000000e+00
16000,213.3895988,2.748938810e+24,7.371482683e+23,0.000000000e+00,1.830638605e+19,0.000000000e+00,3.285292415e+22,0.000000000e+00
17000,212.7531586,2.350522537e+24,6.303100138e+23,0.000000000e+00,1.565315771e+19,0.000000000e+00,2.809139971e+22,0.000000000e+00
18000,212.3046837,2.007304128e+24,5.382734430e+23,0.000000000e+00,1.336751616e+19,0.000000000e+00,2.398955213e+22,0.000000000e+00
19000,212.1182766,1.711770985e+24,4.590240508e+23,0.000000000e+00,1.139943185e+19,0.000000000e+00,2.045759709e+22,0.000000000e+00
20000,212.2665253,1.457535202e+24,3.908488433e+23,0.000000000e+00,9.706364543e+18,0.000000000e+00,1.741919251e+22,0.000000000e+00
21000,212.7988663,1.239234622e+24,3.323099250e+23,0.000000000e+00,8.252605318e+18,0.000000000e+00,1.481025373e+22,0.000000000e+00
22000,213.656004,1.052663685e+24,2.822795493e+23,0.000000000e+00,7.010147833e+18,0.000000000e+00,1.258052000e+22,0.000000000e+00
23000,214.7464409,8.939319020e+23,2.397144439e+23,0.000000000e+00,5.953083470e+18,0.000000000e+00,1.068349589e+22,0.000000000e+00
24000,215.9773769,7.593586435e+23,2.036276338e+23,0.000000000e+00,5.056901298e+18,0.000000000e+00,9.075193617e+21,0.000000000e+00
25000,217.2525387,6.455624538e+23,1.731123484e+23,0.000000000e+00,4.299082768e+18,0.000000000e+00,7.715200683e+21,0.000000000e+00
26000,218.4923897,5.494520664e+23,1.473396337e+23,0.000000000e+00,3.659041622e+18,0.000000000e+00,6.566573008e+21,0.000000000e+00
27000,219.7305794,4.681040057e+23,1.255255504e+23,0.000000000e+00,3.117309357e+18,0.000000000e+00,5.594371739e+21,0.000000000e+00
28000,221.0420208,3.990585271e+23,1.070104957e+23,0.000000000e+00,2.657505276e+18,0.000000000e+00,4.769200189e+21,0.000000000e+00
29000,222.5052662,3.403234095e+23,9.126023578e+22,0.000000000e+00,2.266362399e+18,0.000000000e+00,4.067249132e+21,0.000000000e+00
30000,224.2035141,2.902725919e+23,7.783874047e+22,0.000000000e+00,1.933052149e+18,0.000000000e+00,3.469085392e+21,0.000000000e+00
31000,226.2096443,2.475856575e+23,6.639192441e+22,0.000000000e+00,1.648781183e+18,0.000000000e+00,2.958928252e+21,0.000000000e+00
32000,228.4985733,2.112477109e+23,5.664763507e+22,0.000000000e+00,1.406790905e+18,0.000000000e+00,2.524648743e+21,0.000000000e+00
33000,231.0036869,1.803852632e+23,4.837164251e+22,0.000000000e+00,1.201264368e+18,0.000000000e+00,2.155807681e+21,0.000000000e+00
34000,233.6524563,1.542163241e+23,4.135424785e+22,0.000000000e+00,1.026993957e+18,0.000000000e+00,1.843059269e+21,0.000000000e+00
35000,236.3652935,1.320505491e+23,3.541033176e+22,0.000000000e+00,8.793823819e+17,0.000000000e+00,1.578153229e+21,0.000000000e+00
36000,239.0643559,1.132821230e+23,3.037743898e+22,0.000000000e+00,7.543952001e+17,0.000000000e+00,1.353849303e+21,0.000000000e+00
37000,241.7367783,9.736209086e+22,2.610836487e+22,0.000000000e+00,6.483767584e+17,0.000000000e+00,1.163586987e+21,0.000000000e+00
38000,244.4018326,8.382475508e+22,2.247822797e+22,0.000000000e+00,5.582257170e+17,0.000000000e+00,1.001800519e+21,0.000000000e+00
39000,247.0810146,7.228643826e+22,1.938414272e+22,0.000000000e+00,4.813870041e+17,0.000000000e+00,8.639045906e+20,0.000000000e+00
