altitude,temp,N2,O2,O,He,H,Ar,N
0,280.9226379,2.018663867e+25,5.413196472e+24,0.000000000e+00,1.344316484e+20,0.000000000e+00,2.412531303e+23,0.000000000e+00
1000,275.5878906,1.819930175e+25,4.880277530e+24,0.000000000e+00,1.211971084e+20,0.000000000e+00,2.175022087e+23,0.000000000e+00
2000,271.2304993,1.632028412e+25,4.376404715e+24,0.000000000e+00,1.086839097e+20,0.000000000e+00,1.950458378e+23,0.000000000e+00
3000,266.9726257,1.460537564e+25,3.916539203e+24,0.000000000e+00,9.726358145e+19,0.000000000e+00,1.745507305e+23,0.000000000e+00
4000,262.0472717,1.307934453e+25,3.507322974e+24,0.000000000e+00,8.710107694e+19,0.000000000e+00,1.563129355e+23,0.000000000e+00
5000,255.8077545,1.174519875e+25,3.149561919e+24,0.000000000e+00,7.821641606e+19,0.000000000e+00,1.403683913e+23,0.000000000e+00
6000,248.0338135,1.058010355e+25,2.837132873e+24,0.000000000e+00,7.045753634e+19,0.000000000e+00,1.264441890e+23,0.000000000e+00
7000,239.6318817,9.522043270e+24,2.553406385e+24,0.000000000e+00,6.341145241e+19,0.000000000e+00,1.137991712e+23,0.000000000e+00
8000,231.5735931,8.525872397e+24,2.286275625e+24,0.000000000e+00,5.677750942e+19,0.000000000e+00,1.018938065e+23,0.000000000e+00
9000,224.5980682,7.570234785e+24,2.030014466e+24,0.000000000e+00,5.041350534e+19,0.000000000e+00,9.047285795e+22,0.000000000e+00
10000,219.2744598,6.650070262e+24,1.783265485e+24,0.000000000e+00,4.428572472e+19,0.000000000e+00,7.947585129e+22,0.000000000e+00
11000,215.9058838,5.774860454e+24,1.548571595e+24,0.000000000e+00,3.845732354e+19,0.000000000e+00,6.901610604e+22,0.000000000e+00
12000,214.0575562,4.971371011e+24,1.333109877e+24,0.000000000e+00,3.310653481e+19,0.000000000e+00,5.941349939e+22,0.000000000e+00
13000,213.1912994,4.256377516e+24,1.141379103e+24,0.000000000e+00,2.834507991e+19,0.000000000e+00,5.086851808e+22,0.000000000e+00
14000,212.823822,3.634331112e+24,9.745727624e+23,0.000000000e+00,2.420260168e+19,0.000000000e+00,4.343436312e+22,0.000000000e+00
15000,212.4924164,3.102092970e+24,8.318491506e+23,0.000000000e+00,2.065819401e+19,0.000000000e+00,3.707351504e+22,0.000000000e+00
16000,211.8381042,2.651043849e+24,7.108970202e+23,0.000000000e+00,1.765446018e+19,0.000000000e+00,3.168296975e+22,0.000000000e+00
