altitude,temp,N2,O2,O,He,H,Ar,N
0,294.6456604,1.924643349e+25,5.161073291e+24,0.000000000e+00,1.281704135e+20,0.000000000e+00,2.300166132e+23,0.000000000e+00
1000,288.7287903,1.746994632e+25,4.684695061e+24,0.000000000e+00,1.163400114e+20,0.000000000e+00,2.087855817e+23,0.000000000e+00
2000,283.2937927,1.580115470e+25,4.237196361e+24,0.000000000e+00,1.052267988e+20,0.000000000e+00,1.888416429e+23,0.000000000e+00
3000,277.8470459,1.426546325e+25,3.825389517e+24,0.000000000e+00,9.499995968e+19,0.000000000e+00,1.704884116e+23,0.000000000e+00
4000,271.9685974,1.287273753e+25,3.451919619e+24,0.000000000e+00,8.572519207e+19,0.000000000e+00,1.538437559e+23,0.000000000e+00
5000,265.3143311,1.162227541e+25,3.116599317e+24,0.000000000e+00,7.739781646e+19,0.000000000e+00,1.388993262e+23,0.000000000e+00
6000,257.7807312,1.049981063e+25,2.815602064e+24,0.000000000e+00,6.992283504e+19,0.000000000e+00,1.254846071e+23,0.000000000e+00
7000,249.9075623,9.469374934e+24,2.539282808e+24,0.000000000e+00,6.306070820e+19,0.000000000e+00,1.131697301e+23,0.000000000e+00
8000,242.276062,8.504109274e+24,2.280439681e+24,0.000000000e+00,5.663258060e+19,0.000000000e+00,1.016337146e+23,0.000000000e+00
9000,235.3395844,7.590303113e+24,2.035395871e+24,0.000000000e+00,5.054714877e+19,0.000000000e+00,9.071269264e+22,0.000000000e+00
10000,229.4500275,6.723327471e+24,1.802909970e+24,0.000000000e+00,4.477357803e+19,0.000000000e+00,8.035136006e+22,0.000000000e+00
11000,224.809082,5.906374786e+24,1.583838167e+24,0.000000000e+00,3.933313293e+19,0.000000000e+00,7.058785331e+22,0.000000000e+00
12000,221.256897,5.151474644e+24,1.381406047e+24,0.000000000e+00,3.430592167e+19,0.000000000e+00,6.156594079e+22,0.000000000e+00
13000,218.5852814,4.466707004e+24,1.197780527e+24,0.000000000e+00,2.974575657e+19,0.000000000e+00,5.338219320e+22,0.000000000e+00
14000,216.6227112,3.854745493e+24,1.033678508e+24,0.000000000e+00,2.567043651e+19,0.000000000e+00,4.606856358e+22,0.000000000e+00
15000,215.2227173,3.314351584e+24,8.887678765e+23,0.000000000e+00,2.207171736e+19,0.000000000e+00,3.961024859e+22,0.000000000e+00
16000,214.2718506,2.841562974e+24,7.619861426e+23,0.000000000e+00,1.892321084e+19,0.000000000e+00,3.395988839e+22,0.000000000e+00
17000,213.7408752,2.430276674e+24,6.516966627e+23,0.000000000e+00,1.618427460e+19,0.000000000e+00,2.904454941e+22,0.000000000e+00
18000,213.6266174,2.074076243e+24,5.561788454e+23,0.000000000e+00,1.381218052e+19,0.000000000e+00,2.478755339e+22,0.000000000e+00
19000,213.9306946,1.766838371e+24,4.737907865e+23,0.000000000e+00,1.176614991e+19,0.000000000e+00,2.111571457e+22,0.000000000e+00
20000,214.6598206,1.502783173e+24,4.029824189e+23,0.000000000e+00,1.000769106e+19,0.000000000e+00,1.795995787e+22,0.000000000e+00
21000,215.8107605,1.276656355e+24,3.423448366e+23,0.000000000e+00,8.501812583e+18,0.000000000e+00,1.525748509e+22,0.000000000e+00
22000,217.311554,1.083951290e+24,2.906695437e+23,0.000000000e+00,7.218505492e+18,0.000000000e+00,1.295444220e+22,0.000000000e+00
23000,219.0673218,9.204254437e+23,2.468188769e+23,0.000000000e+00,6.129515641e+18,0.000000000e+00,1.100012315e+22,0.000000000e+00
24000,220.9789124,7.821239343e+23,2.097323284e+23,0.000000000e+00,5.208505328e+18,0.000000000e+00,9.347264937e+21,0.000000000e+00
25000,222.9409485,6.654355239e+23,1.784414623e+23,0.000000000e+00,4.431426310e+18,0.000000000e+00,7.952706172e+21,0.000000000e+00
26000,224.8600922,5.670857711e+23,1.520682388e+23,0.000000000e+00,3.776472247e+18,0.000000000e+00,6.777315646e+21,0.000000000e+00
27000,226.7438354,4.840209112e+23,1.297937863e+23,0.000000000e+00,3.223307122e+18,0.000000000e+00,5.784596750e+21,0.000000000e+00
28000,228.6368103,4.136687763e+23,1.109283426e+23,0.000000000e+00,2.754801370e+18,0.000000000e+00,4.943809039e+21,0.000000000e+00
29000,230.5866699,3.539349764e+23,9.491027268e+22,0.000000000e+00,2.357007683e+18,0.000000000e+00,4.229922633e+21,0.000000000e+00
30000,232.6443481,3.031063782e+23,8.128021848e+22,0.000000000e+00,2.018518081e+18,0.000000000e+00,3.622463886e+21,0.000000000e+00
31000,234.8547058,2.597863255e+23,6.966362459e+22,0.000000000e+00,1.730030831e+18,0.000000000e+00,3.104739925e+21,0.000000000e+00
32000,237.2048645,2.228691664e+23,5.976401455e+22,0.000000000e+00,1.484183330e+18,0.000000000e+00,2.663538313e+21,0.000000000e+00
33000,239.6573639,1.914192872e+23,5.133049733e+22,0.000000000e+00,1.274744782e+18,0.000000000e+00,2.287676755e+21,0.000000000e+00
34000,242.171524,1.646314623e+23,4.414714333e+22,0.000000000e+00,1.096352937e+18,0.000000000e+00,1.967531902e+21,0.000000000e+00
35000,244.7031097,1.418091649e+23,3.802717928e+22,0.000000000e+00,9.443693001e+17,0.000000000e+00,1.694779694e+21,0.000000000e+00
36000,247.2089233,1.223567851e+23,3.281087601e+22,0.000000000e+00,8.148273141e+17,0.000000000e+00,1.462301770e+21,0.000000000e+00
37000,249.6766205,1.057492841e+23,2.835745098e+22,0.000000000e+00,7.042307380e+17,0.000000000e+00,1.263823349e+21,0.000000000e+00
38000,252.1087341,9.154281414e+22,2.454788308e+22,0.000000000e+00,6.096236723e+17,0.000000000e+00,1.094040036e+21,0.000000000e+00
39000,254.5081635,7.936738659e+22,2.128295124e+22,0.000000000e+00,5.285421458e+17,0.000000000e+00,9.485299280e+20,0.000000000e+00
40000,256.8783875,6.891377075e+22,1.847973632e+22,0.000000000e+00,4.589269107e+17,0.000000000e+00,8.235974003e+20,0.000000000e+00
41000,259.2183838,5.992359060e+22,1.606895381e+22,0.000000000e+00,3.990573687e+17,0.000000000e+00,7.161546018e+20,0.000000000e+00
42000,261.4842224,5.218818536e+22,1.399464761e+22,0.000000000e+00,3.475439432e+17,0.000000000e+00,6.237077345e+20,0.000000000e+00
43000,263.6064148,4.553045999e+22,1.220932840e+22,0.000000000e+00,3.032072364e+17,0.000000000e+00,5.441403881e+20,0.000000000e+00
