altitude,temp,N2,O2,O,He,H,Ar,N
0,282.1902466,2.009597523e+25,5.388884240e+24,0.000000000e+00,1.338278934e+20,0.000000000e+00,2.401696002e+23,0.000000000e+00
1000,276.2682495,1.816233563e+25,4.870364711e+24,0.000000000e+00,1.209509410e+20,0.000000000e+00,2.170604236e+23,0.000000000e+00
2000,271.2382507,1.632943832e+25,4.378859573e+24,0.000000000e+00,1.087448754e+20,0.000000000e+00,1.951552393e+23,0.000000000e+00
3000,266.329071,1.464705375e+25,3.927715624e+24,0.000000000e+00,9.754113336e+19,0.000000000e+00,1.750488286e+23,0.000000000e+00
4000,260.8789673,1.313775038e+25,3.522984836e+24,0.000000000e+00,8.749003138e+19,0.000000000e+00,1.570109574e+23,0.000000000e+00
5000,254.3394775,1.180471486e+25,3.165521523e+24,0.000000000e+00,7.861275922e+19,0.000000000e+00,1.410796719e+23,0.000000000e+00
6000,246.5462189,1.062787600e+25,2.849943561e+24,0.000000000e+00,7.077567783e+19,0.000000000e+00,1.270151284e+23,0.000000000e+00
7000,238.355423,9.550855355e+24,2.561132400e+24,0.000000000e+00,6.360332159e+19,0.000000000e+00,1.141435074e+23,0.000000000e+00
8000,230.6706848,8.533648852e+24,2.288360972e+24,0.000000000e+00,5.682930082e+19,0.000000000e+00,1.019867427e+23,0.000000000e+00
9000,224.1820831,7.558288789e+24,2.026811073e+24,0.000000000e+00,5.033394907e+19,0.000000000e+00,9.033008483e+22,0.000000000e+00
10000,219.4335632,6.621869802e+24,1.775703472e+24,0.000000000e+00,4.409792814e+19,0.000000000e+00,7.913882891e+22,0.000000000e+00
11000,216.7161102,5.734993581e+24,1.537880842e+24,0.000000000e+00,3.819183106e+19,0.000000000e+00,6.853965223e+22,0.000000000e+00
12000,215.5510559,4.925425936e+24,1.320789326e+24,0.000000000e+00,3.280056491e+19,0.000000000e+00,5.886440251e+22,0.000000000e+00
13000,215.3413239,4.209726853e+24,1.128869400e+24,0.000000000e+00,2.803441290e+19,0.000000000e+00,5.031099046e+22,0.000000000e+00
14000,215.5336609,3.591606435e+24,9.631158211e+23,0.000000000e+00,2.391807666e+19,0.000000000e+00,4.292375401e+22,0.000000000e+00
15000,215.5832977,3.066794549e+24,8.223836650e+23,0.000000000e+00,2.042312722e+19,0.000000000e+00,3.665166061e+22,0.000000000e+00
16000,215.0695038,2.625230801e+24,7.039750236e+23,0.000000000e+00,1.748255924e+19,0.000000000e+00,3.137447317e+22,0.000000000e+00
17000,214.1247406,2.250649919e+24,6.035284309e+23,0.000000000e+00,1.498806202e+19,0.000000000e+00,2.689780957e+22,0.000000000e+00
18000,213.0319061,1.929508822e+24,5.174120400e+23,0.000000000e+00,1.284944374e+19,0.000000000e+00,2.305981045e+22,0.000000000e+00
19000,212.0640564,1.652027709e+24,4.430034588e+23,0.000000000e+00,1.100157591e+19,0.000000000e+00,1.974359837e+22,0.000000000e+00
20000,211.4845276,1.411114961e+24,3.784009435e+23,0.000000000e+00,9.397232313e+18,0.000000000e+00,1.686441898e+22,0.000000000e+00
21000,211.4963379,1.201762286e+24,3.222614484e+23,0.000000000e+00,8.003060915e+18,0.000000000e+00,1.436241719e+22,0.000000000e+00
22000,212.0329437,1.021214922e+24,2.738463473e+23,0.000000000e+00,6.800716912e+18,0.000000000e+00,1.220467280e+22,0.000000000e+00
23000,212.95047,8.667666033e+23,2.324298760e+23,0.000000000e+00,5.772178210e+18,0.000000000e+00,1.035883984e+22,0.000000000e+00
24000,214.1055756,7.354917903e+23,1.972275616e+23,0.000000000e+00,4.897961463e+18,0.000000000e+00,8.789957994e+21,0.000000000e+00
25000,215.351181,6.244419586e+23,1.674487341e+23,0.000000000e+00,4.158432141e+18,0.000000000e+00,7.462786590e+21,0.000000000e+00
26000,216.5653076,5.307602049e+23,1.423272680e+23,0.000000000e+00,3.534564296e+18,0.000000000e+00,6.343183841e+21,0.000000000e+00
27000,217.7918701,4.515393294e+23,1.210836175e+23,0.000000000e+00,3.006998001e+18,0.000000000e+00,5.396405039e+21,0.000000000e+00
28000,219.1348724,3.843202947e+23,1.030583292e+23,0.000000000e+00,2.559356855e+18,0.000000000e+00,4.593061664e+21,0.000000000e+00
29000,220.703537,3.271328660e+23,8.772309513e+22,0.000000000e+00,2.178520800e+18,0.000000000e+00,3.909607206e+21,0.000000000e+00
30000,222.6140747,2.783902091e+23,7.465239250e+22,0.000000000e+00,1.853922152e+18,0.000000000e+00,3.327077572e+21,0.000000000e+00
31000,224.9666901,2.368162200e+23,6.350401986e+22,0.000000000e+00,1.577062788e+18,0.000000000e+00,2.830221321e+21,0.000000000e+00
32000,227.7084656,2.014822743e+23,5.402896415e+22,0.000000000e+00,1.341758641e+18,0.000000000e+00,2.407941020e+21,0.000000000e+00
33000,230.7197113,1.715760129e+23,4.600937728e+22,0.000000000e+00,1.142599702e+18,0.000000000e+00,2.050527191e+21,0.000000000e+00
34000,233.8686676,1.463402635e+23,3.924222344e+22,0.000000000e+00,9.745438162e+17,0.000000000e+00,1.748931398e+21,0.000000000e+00
35000,237.0090637,1.250931722e+23,3.354465875e+22,0.000000000e+00,8.330501387e+17,0.000000000e+00,1.495004658e+21,0.000000000e+00
36000,239.9969635,1.072205380e+23,2.875198207e+22,0.000000000e+00,7.140284861e+17,0.000000000e+00,1.281406528e+21,0.000000000e+00
37000,242.8091431,9.214296383e+22,2.470881921e+22,0.000000000e+00,6.136203283e+17,0.000000000e+00,1.101212581e+21,0.000000000e+00
38000,245.4829865,7.936889980e+22,2.128335657e+22,0.000000000e+00,5.285522132e+17,0.000000000e+00,9.485480128e+20,0.000000000e+00
39000,248.0607452,6.850357839e+22,1.836974153e+22,0.000000000e+00,4.561952771e+17,0.000000000e+00,8.186951618e+20,0.000000000e+00
40000,250.5891266,5.922929766e+22,1.588277387e+22,0.000000000e+00,3.944338192e+17,0.000000000e+00,7.078570010e+20,0.000000000e+00
41000,253.1078796,5.128919932e+22,1.375357780e+22,0.000000000e+00,3.415572055e+17,0.000000000e+00,6.129638347e+20,0.000000000e+00
42000,255.5576477,4.449016901e+22,1.193036755e+22,0.000000000e+00,2.962794885e+17,0.000000000e+00,5.317077791e+20,0.000000000e+00
43000,257.8208313,3.867260816e+22,1.037034541e+22,0.000000000e+00,2.575378011e+17,0.000000000e+00,4.621813488e+20,0.000000000e+00
44000,259.7720032,3.369650887e+22,9.035968249e+21,0.000000000e+00,2.243997920e+17,0.000000000e+00,4.027113509e+20,0.000000000e+00
45000,261.2807312,2.943875625e+22,7.894220175e+21,0.000000000e+00,1.960455518e+17,0.000000000e+00,3.518263750e+20,0.000000000e+00
46000,262.2228394,2.579218938e+22,6.916366536e+21,0.000000000e+00,1.717614802e+17,0.000000000e+00,3.082458155e+20,0.000000000e+00
47000,262.5640869,2.265739806e+22,6.075748836e+21,0.000000000e+00,1.508855340e+17,0.000000000e+00,2.707815136e+20,0.000000000e+00
48000,262.3320618,1.994838155e+22,5.349306395e+21,0.000000000e+00,1.328450049e+17,0.000000000e+00,2.384056989e+20,0.000000000e+00
49000,261.5627747,1.759572475e+22,4.718423581e+21,0.000000000e+00,1.171776256e+17,0.000000000e+00,2.102887940e+20,0.000000000e+00
50000,260.2981567,1.554310676e+22,4.167998983e+21,0.000000000e+00,1.035083511e+17,0.000000000e+00,1.857576868e+20,0.000000000e+00
51000,258.587738,1.374419005e+22,3.685606042e+21,5.873582945e+13,9.152857058e+16,0.000000000e+00,1.642585929e+20,0.000000000e+00
52000,256.5288391,1.215945666e+22,3.260648070e+21,5.484721052e+13,8.097514015e+16,0.000000000e+00,1.453192413e+20,0.000000000e+00
53000,254.2506866,1.075584566e+22,2.884259450e+21,5.095062661e+13,7.162787826e+16,0.000000000e+00,1.285445025e+20,0.000000000e+00
54000,251.8763428,9.507510893e+21,2.549509141e+21,4.739619304e+13,6.331467271e+16,0.000000000e+00,1.136254931e+20,0.000000000e+00
55000,249.520752,8.393966049e+21,2.250904020e+21,4.444136879e+13,5.589908955e+16,0.000000000e+00,1.003173738e+20,0.000000000e+00
56000,247.2865753,7.398979027e+21,1.984090934e+21,4.227130720e+13,4.927303735e+16,0.000000000e+00,8.842615558e+19,0.000000000e+00
57000,245.1913147,6.511318978e+21,1.746058242e+21,4.088441864e+13,4.336171924e+16,0.000000000e+00,7.781761880e+19,0.000000000e+00
58000,243.1780701,5.722331670e+21,1.534485605e+21,4.015364086e+13,3.810750965e+16,0.000000000e+00,6.838833022e+19,0.000000000e+00
59000,241.1909485,5.023291380e+21,1.347032700e+21,3.998260553e+13,3.345229553e+16,0.000000000e+00,6.003400778e+19,0.000000000e+00
60000,239.1776886,4.405543316e+21,1.181379047e+21,4.030265190e+13,2.933844056e+16,0.000000000e+00,5.265122260e+19,0.000000000e+00
61000,237.0909424,3.860758350e+21,1.035290930e+21,4.106573421e+13,2.571047954e+16,0.000000000e+00,4.614042492e+19,0.000000000e+00
62000,234.9328003,3.380502648e+21,9.065068399e+20,4.234627619e+13,2.251224718e+16,0.000000000e+00,4.040082908e+19,0.000000000e+00
63000,232.7602386,2.956636518e+21,7.928439370e+20,4.438452758e+13,1.968953454e+16,0.000000000e+00,3.533514592e+19,0.000000000e+00
64000,230.6294708,2.582358115e+21,6.924784045e+20,4.750035858e+13,1.719705227e+16,0.000000000e+00,3.086209732e+19,0.000000000e+00
65000,228.5924225,2.251865960e+21,6.038545304e+20,5.214068487e+13,1.499616071e+16,0.000000000e+00,2.691234149e+19,0.000000000e+00
66000,226.697113,1.960205249e+21,5.256435063e+20,5.896537951e+13,1.305386375e+16,0.000000000e+00,2.342666753e+19,0.000000000e+00
67000,224.9652252,1.703283193e+21,4.567479670e+20,6.861402354e+13,1.134290770e+16,0.000000000e+00,2.035615817e+19,0.000000000e+00
68000,223.3813324,1.477581780e+21,3.962244786e+20,8.131799155e+13,9.839863491e+15,0.000000000e+00,1.765877137e+19,0.000000000e+00
69000,221.9280548,1.279857993e+21,3.432033891e+20,9.708313038e+13,8.523133892e+15,0.000000000e+00,1.529574826e+19,0.000000000e+00
70000,220.5891724,1.107067190e+21,2.968682451e+20,1.154818643e+14,7.372444508e+15,0.000000000e+00,1.323070379e+19,0.000000000e+00
71000,219.3492432,9.564094681e+20,2.564682472e+20,1.353843401e+14,6.369148737e+15,0.000000000e+00,1.143017214e+19,0.000000000e+00
72000,218.1490173,8.254750495e+20,2.213572521e+20,1.561906297e+14,5.497200046e+15,0.000000000e+00,9.865359284e+18,0.000000000e+00
73000,216.8381042,7.122641251e+20,1.909988565e+20,1.806335906e+14,4.743277593e+15,0.000000000e+00,8.512359649e+18,0.000000000e+00
