altitude,temp,N2,O2,O,He,H,Ar,N
0,295.7230225,1.917629897e+25,5.142266259e+24,0.000000000e+00,1.277033586e+20,0.000000000e+00,2.291784392e+23,0.000000000e+00
1000,289.149353,1.744929865e+25,4.679158444e+24,0.000000000e+00,1.162025109e+20,0.000000000e+00,2.085388385e+23,0.000000000e+00
2000,283.6252136,1.578934532e+25,4.234029574e+24,0.000000000e+00,1.051481529e+20,0.000000000e+00,1.887005001e+23,0.000000000e+00
3000,278.4516907,1.424316921e+25,3.819411331e+24,0.000000000e+00,9.485149922e+19,0.000000000e+00,1.702219606e+23,0.000000000e+00
4000,273.0304871,1.283527566e+25,3.441873926e+24,0.000000000e+00,8.547570849e+19,0.000000000e+00,1.533960441e+23,0.000000000e+00
5000,266.8561096,1.157360944e+25,3.103548822e+24,0.000000000e+00,7.707372441e+19,0.000000000e+00,1.383177043e+23,0.000000000e+00
6000,259.692688,1.044818973e+25,2.801759224e+24,0.000000000e+00,6.957906173e+19,0.000000000e+00,1.248676680e+23,0.000000000e+00
7000,252.014679,9.423322637e+24,2.526933578e+24,0.000000000e+00,6.275402362e+19,0.000000000e+00,1.126193451e+23,0.000000000e+00
8000,244.371521,8.470986992e+24,2.271557862e+24,0.000000000e+00,5.641200977e+19,0.000000000e+00,1.012378662e+23,0.000000000e+00
9000,237.1983795,7.575319169e+24,2.031377795e+24,0.000000000e+00,5.044736150e+19,0.000000000e+00,9.053362052e+22,0.000000000e+00
10000,230.8326416,6.729459860e+24,1.804554468e+24,0.000000000e+00,4.481441829e+19,0.000000000e+00,8.042465164e+22,0.000000000e+00
11000,225.4878845,5.933542229e+24,1.591123190e+24,0.000000000e+00,3.951405097e+19,0.000000000e+00,7.091253131e+22,0.000000000e+00
12000,221.1318665,5.194710929e+24,1.393000114e+24,0.000000000e+00,3.459385298e+19,0.000000000e+00,6.208266580e+22,0.000000000e+00
13000,217.6935883,4.518445509e+24,1.211654641e+24,0.000000000e+00,3.009030613e+19,0.000000000e+00,5.400052843e+22,0.000000000e+00
14000,215.1235199,3.907108305e+24,1.047720011e+24,0.000000000e+00,2.601914443e+19,0.000000000e+00,4.669435676e+22,0.000000000e+00
15000,213.3916168,3.360565866e+24,9.011605577e+23,0.000000000e+00,2.237947726e+19,0.000000000e+00,4.016255654e+22,0.000000000e+00
16000,212.4611816,2.877066327e+24,7.715065361e+23,0.000000000e+00,1.915964322e+19,0.000000000e+00,3.438419052e+22,0.000000000e+00
17000,212.202652,2.454425480e+24,6.581724066e+23,0.000000000e+00,1.634509357e+19,0.000000000e+00,2.933315809e+22,0.000000000e+00
18000,212.4712067,2.088804960e+24,5.601285023e+23,0.000000000e+00,1.391026575e+19,0.000000000e+00,2.496357884e+22,0.000000000e+00
