altitude,CO2,CH4,N2O,H2,Ne,Kr,Xe,O3
0,4.290000000e-04,1.936000000e-06,3.390000000e-07,5.530000000e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,3.399323768e-08
1000,4.293802464e-04,1.930163813e-06,3.391589471e-07,5.536723804e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,3.762380859e-08
2000,4.299615710e-04,1.919865979e-06,3.395730926e-07,5.554071937e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,4.224860180e-08
3000,4.303294841e-04,1.911281967e-06,3.398121460e-07,5.567728597e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,4.771605940e-08
4000,4.304972843e-04,1.904608111e-06,3.399279767e-07,5.576611988e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,5.318685214e-08
5000,4.305981709e-04,1.899313158e-06,3.399962632e-07,5.583119806e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,5.833705839e-08
6000,4.305921393e-04,1.894800155e-06,3.399840980e-07,5.587503483e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.359024674e-08
7000,4.304568449e-04,1.889961820e-06,3.398487727e-07,5.590690197e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.985033757e-08
8000,4.301998633e-04,1.883312773e-06,3.394662499e-07,5.594208283e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,8.012755673e-08
9000,4.298341043e-04,1.873340696e-06,3.386087279e-07,5.600345254e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.000085550e-07
10000,4.292703095e-04,1.857906091e-06,3.367523975e-07,5.612037022e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.400889405e-07
11000,4.283978142e-04,1.835044494e-06,3.332838574e-07,5.632459960e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,2.121464653e-07
12000,4.271039694e-04,1.803081890e-06,3.275769962e-07,5.663366363e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,3.262024881e-07
13000,4.256581022e-04,1.768442902e-06,3.206821092e-07,5.697405396e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,4.636147707e-07
14000,4.245502517e-04,1.740942878e-06,3.146767171e-07,5.724056860e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,5.888357780e-07
15000,4.237740071e-04,1.719183197e-06,3.094087369e-07,5.745232529e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,7.080000167e-07
16000,4.228928777e-04,1.693112779e-06,3.026335029e-07,5.772105819e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,8.654738475e-07
17000,4.215991239e-04,1.655819186e-06,2.926589577e-07,5.811799163e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.097732716e-06
18000,4.198716934e-04,1.606823795e-06,2.793350835e-07,5.863909738e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.415399309e-06
19000,4.178833013e-04,1.549864940e-06,2.635185800e-07,5.924115309e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.813877606e-06
20000,4.158348460e-04,1.489039527e-06,2.459530545e-07,5.989407672e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,2.291717012e-06
21000,4.137793869e-04,1.424497979e-06,2.263626570e-07,6.059918064e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,2.832034381e-06
22000,4.118286318e-04,1.357597060e-06,2.051613937e-07,6.131780961e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,3.386877099e-06
23000,4.104039637e-04,1.299780497e-06,1.856366747e-07,6.193218390e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,3.927831872e-06
24000,4.096132559e-04,1.256441720e-06,1.696841756e-07,6.239626811e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,4.429667988e-06
25000,4.093735644e-04,1.228791897e-06,1.574750409e-07,6.279725621e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,4.935099113e-06
26000,4.093589444e-04,1.206953301e-06,1.464473405e-07,6.315437396e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,5.397395173e-06
27000,4.094261744e-04,1.184735342e-06,1.354981785e-07,6.342521233e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,5.784487150e-06
28000,4.095077189e-04,1.159164778e-06,1.242851062e-07,6.359117047e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.099749756e-06
29000,4.095686301e-04,1.129281318e-06,1.129210436e-07,6.364818744e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.356668780e-06
30000,4.095859024e-04,1.095209527e-06,1.018732573e-07,6.359349369e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.567740825e-06
31000,4.094912410e-04,1.054155072e-06,9.051393235e-08,6.328187842e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.740416399e-06
32000,4.092889119e-04,1.008408298e-06,7.917094441e-08,6.281374716e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.878275643e-06
33000,4.090059028e-04,9.582158864e-07,6.790930651e-08,6.217514070e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.976004900e-06
34000,4.086661465e-04,9.029956929e-07,5.680407080e-08,6.131012613e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,7.019365155e-06
35000,4.083324627e-04,8.456146231e-07,4.658801368e-08,6.015408233e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.995158631e-06
36000,4.079970705e-04,7.862546878e-07,3.712572351e-08,5.885142716e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.920230457e-06
37000,4.076580774e-04,7.245372821e-07,2.854838210e-08,5.739993139e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.787278335e-06
38000,4.073606555e-04,6.648030674e-07,2.211438399e-08,5.598987611e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.580222838e-06
39000,4.070817719e-04,6.075478418e-07,1.659179811e-08,5.464114848e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.326526567e-06
40000,4.068338768e-04,5.554304811e-07,1.256507311e-08,5.342164490e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,5.986390775e-06
41000,4.066117126e-04,5.083652216e-07,9.553875495e-09,5.228463308e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,5.592667986e-06
42000,4.064035115e-04,4.640415415e-07,7.093765201e-09,5.119238632e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,5.169865612e-06
43000,4.062381527e-04,4.285351978e-07,5.582884408e-09,5.040519783e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,4.724097121e-06
44000,4.060800793e-04,3.953453068e-07,4.240453305e-09,4.969288319e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,4.278788127e-06
45000,4.059461118e-04,3.723526152e-07,3.477193999e-09,4.929959689e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,3.848528173e-06
46000,4.058148954e-04,3.521176501e-07,2.829482511e-09,4.912695037e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,3.441032010e-06
47000,4.056904336e-04,3.386533554e-07,2.465459847e-09,4.949601068e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,3.089424686e-06
48000,4.055558593e-04,3.273298433e-07,2.168724281e-09,5.020514229e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,2.771759688e-06
49000,4.054057688e-04,3.192910460e-07,1.975230831e-09,5.143606310e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,2.506174178e-06
50000,4.052457908e-04,3.115849648e-07,1.793557143e-09,5.294032158e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,2.270377098e-06
51000,4.050742079e-04,3.042693959e-07,1.625756429e-09,5.476539924e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,2.069542996e-06
52000,4.049056868e-04,2.969024422e-07,1.459924478e-09,5.700674495e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.890427791e-06
53000,4.047402515e-04,2.894837007e-07,1.296076734e-09,5.966762356e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.733201828e-06
54000,4.046352743e-04,2.824301186e-07,1.145103106e-09,6.275775128e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.593932042e-06
55000,4.045653482e-04,2.755882411e-07,1.001593367e-09,6.609674019e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.465072517e-06
56000,4.043753399e-04,2.705147980e-07,8.941938920e-10,7.011610790e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.356977191e-06
57000,4.041649031e-04,2.657300466e-07,7.938358477e-10,7.430681307e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.253031170e-06
58000,4.038921043e-04,2.617716835e-07,7.190299669e-10,7.927160971e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.164537557e-06
59000,4.035881200e-04,2.574556760e-07,6.464580491e-10,8.476366106e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.079440136e-06
60000,4.031922444e-04,2.520858339e-07,5.804687218e-10,9.180931987e-07,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.004349922e-06
61000,4.027602220e-04,2.455593960e-07,5.163314554e-10,1.000530969e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,9.334917398e-07
62000,4.022821557e-04,2.375596894e-07,4.545533392e-10,1.098230334e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,8.680243079e-07
63000,4.017802963e-04,2.278090464e-07,3.958777448e-10,1.212100600e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,8.060883213e-07
64000,4.012672070e-04,2.172320052e-07,3.386664631e-10,1.333603127e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,7.458190884e-07
65000,4.007599353e-04,2.056239908e-07,2.924711551e-10,1.468550679e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.846836535e-07
66000,4.002600224e-04,1.940817567e-07,2.511686343e-10,1.605140480e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,6.227629642e-07
67000,3.997751054e-04,1.827321313e-07,2.194501276e-10,1.744420029e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,5.592553522e-07
68000,3.992558084e-04,1.711495156e-07,1.946213321e-10,1.892893950e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,4.953678951e-07
69000,3.987039062e-04,1.593521237e-07,1.733691710e-10,2.048438947e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,4.321629565e-07
70000,3.980558162e-04,1.469333535e-07,1.568210315e-10,2.221584580e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,3.730332504e-07
71000,3.973122865e-04,1.345949571e-07,1.431834963e-10,2.404979668e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,3.207504657e-07
72000,3.964833697e-04,1.224752565e-07,1.316953261e-10,2.594930370e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,2.743929050e-07
73000,3.954912054e-04,1.111853706e-07,1.230412310e-10,2.790082205e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,2.388011658e-07
74000,3.942796393e-04,1.008756299e-07,1.159860837e-10,2.984585661e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,2.121012404e-07
75000,3.928465815e-04,9.132266372e-08,1.099437484e-10,3.177486621e-06,1.818000000e-05,1.140000000e-06,8.700000000e-08,1.916760546e-07
